county,lat,lon,population,water,grid,burden,subrgn,tier
08027,38.07227223607333,-105.35474543143629,5073.0,95.0,50.7,8.6,RMPA,High
08029,38.83451346930756,-107.92307714897319,31353.0,50.0,50.7,17.5,RMPA,Elevated
08031,39.72542393409002,-104.94872993208861,713734.0,95.0,50.7,66.4,RMPA,High
08033,37.7338227,-108.5062192,2385.0,5.0,50.7,5.7,RMPA,Moderate
08035,39.47593475627168,-104.87070371195809,368283.0,95.0,50.7,20.2,RMPA,High
08037,39.57505159910067,-106.69856940042821,55374.0,5.0,50.7,10.8,RMPA,Moderate
08039,39.38952123708381,-104.49540397354657,27152.0,95.0,50.7,6.0,RMPA,High
08041,38.87677230329331,-104.74959421163884,736008.0,95.0,50.7,42.3,RMPA,High
08043,38.44528257352918,-105.20463203399048,49394.0,95.0,50.7,33.1,RMPA,High
08045,39.550560321581706,-107.58148694601884,62034.0,5.0,50.7,18.5,RMPA,Moderate
08047,39.84761847690999,-105.49967049521506,5877.0,95.0,50.7,23.6,RMPA,High
08049,40.04222367970114,-105.95088977343123,15794.0,25.0,50.7,12.7,RMPA,Moderate
08051,38.66824104995919,-106.91352039062369,17158.0,50.0,50.7,6.1,RMPA,Elevated
08053,37.8115187,-107.3839736,939.0,50.0,50.7,0.6,RMPA,Elevated
08055,37.622467626418086,-104.86589109179862,6946.0,95.0,50.7,22.7,RMPA,High
08057,40.6634319,-106.3292476,1422.0,75.0,50.7,23.4,RMPA,Elevated
08059,39.7224529093382,-105.13167845619202,579715.0,95.0,50.7,49.1,RMPA,High
08061,38.387663,-102.7568494,1356.0,75.0,50.7,5.5,RMPA,Elevated
08063,39.30748584724162,-102.42133678060891,7015.0,95.0,50.7,20.7,RMPA,High
08065,39.2211166771286,-106.33370983581287,7411.0,95.0,50.7,9.4,RMPA,High
08067,37.280427014810655,-107.81390618912535,56088.0,50.0,50.7,7.5,RMPA,Elevated
08069,40.50367555584154,-105.09101189922364,363561.0,95.0,50.7,38.3,RMPA,High
08071,37.208107528321285,-104.51255266322616,14392.0,25.0,50.7,15.3,RMPA,Moderate
08073,39.1882873041719,-103.56807209867014,5561.0,85.0,50.7,10.3,RMPA,High
08075,40.650139914496606,-103.18129117817494,21067.0,95.0,50.7,39.3,RMPA,High
08077,39.092512251777954,-108.55391704545104,157316.0,5.0,50.7,44.5,RMPA,Moderate
08079,37.5490692,-107.0032352,799.0,25.0,50.7,8.3,RMPA,Moderate
08081,40.548601473691356,-107.60986559029085,13258.0,25.0,50.7,33.4,RMPA,Moderate
08083,37.3823742270493,-108.53102033193495,26204.0,50.0,50.7,15.1,RMPA,Elevated
08085,38.47481310678037,-107.91927953056977,43272.0,50.0,50.7,24.9,RMPA,Elevated
08087,40.236491735150416,-103.81018467170885,29186.0,95.0,50.7,49.4,RMPA,High
08089,38.01960901492958,-103.6563788894067,18460.0,95.0,50.7,30.2,RMPA,High
08091,38.1605940660032,-107.75252922414847,5024.0,50.0,50.7,3.0,RMPA,Elevated
08093,39.29732381572241,-105.64863522412013,17739.0,95.0,50.7,4.8,RMPA,High
08095,40.590783205611224,-102.32015381583841,4491.0,95.0,50.7,13.2,RMPA,High
08097,39.19906752580758,-106.91846074735088,17119.0,25.0,50.7,3.4,RMPA,Moderate
08099,38.05097310830609,-102.5458543123242,11931.0,75.0,50.7,28.7,RMPA,Elevated
08101,38.268035383266366,-104.64559611765038,168726.0,95.0,50.7,60.6,RMPA,High
08103,39.95897146204357,-108.24007134978065,6518.0,25.0,50.7,14.3,RMPA,Moderate
08105,37.586416557319644,-106.23824812495053,11394.0,50.0,50.7,27.8,RMPA,Elevated
08107,40.44657443127651,-106.9164463093747,24990.0,25.0,50.7,5.7,RMPA,Moderate
08109,38.0024226493319,-106.32609039342549,6511.0,95.0,50.7,29.5,RMPA,High
08111,37.7810492,-107.6702567,690.0,50.0,50.7,5.1,RMPA,Elevated
08113,37.93598478195864,-108.00609744263242,8026.0,5.0,50.7,6.6,RMPA,Moderate
08115,40.8715679,-102.3553579,2346.0,95.0,50.7,15.2,RMPA,High
08117,39.57131351756813,-106.04328955457811,30857.0,25.0,50.7,14.0,RMPA,Moderate
